[param : -s 0 -t 1 -c 1 -g 1.25e-08 -r -1000 -d 2, ACC = 0.36, MSE = 4.6148, SCC = 0.03169291554703492]
[param : -s 0 -t 1 -c 1 -g 1.25e-08 -r -100 -d 2, ACC = 0.36, MSE = 4.6148, SCC = 0.03169291554703492]
[param : -s 0 -t 1 -c 1 -g 1.25e-08 -r -10 -d 2, ACC = 0.08, MSE = 3.8536, SCC = 0.02520610862326329]
[param : -s 0 -t 1 -c 1 -g 1.25e-08 -r -1 -d 2, ACC = 0.12, MSE = 3.9092, SCC = 0.019536600225222037]
[param : -s 0 -t 1 -c 1 -g 1.25e-08 -r -0.1 -d 2, ACC = 0.12, MSE = 3.9124, SCC = 0.019327519432505602]
[param : -s 0 -t 1 -c 1 -g 1.25e-08 -r 0 -d 2, ACC = 46.6, MSE = 1.934, SCC = 0.25912766800069376]
[param : -s 0 -t 1 -c 1 -g 1.25e-08 -r 0.1 -d 2, ACC = 79.4, MSE = 0.824, SCC = 0.6319435961960072]
[param : -s 0 -t 1 -c 1 -g 1.25e-08 -r 1 -d 2, ACC = 79.44, MSE = 0.8224, SCC = 0.6327142904865366]
[param : -s 0 -t 1 -c 1 -g 1.25e-08 -r 10 -d 2, ACC = 81.88, MSE = 0.8384, SCC = 0.6212206042392414]
[param : -s 0 -t 1 -c 1 -g 1.25e-08 -r 100 -d 2, ACC = 82.04, MSE = 0.9568, SCC = 0.5977089272259808]
[param : -s 0 -t 1 -c 1 -g 1.25e-08 -r 1000 -d 2, ACC = 80.76, MSE = 1.1064, SCC = 0.5494724285298082]
[param : -s 0 -t 1 -c 1 -g 1.25e-07 -r -1000 -d 2, ACC = 0.27999999999999997, MSE = 3.9844, SCC = 0.0001348564531855099]
[param : -s 0 -t 1 -c 1 -g 1.25e-07 -r -100 -d 2, ACC = 0.08, MSE = 3.7456, SCC = 0.034961257349932634]
[param : -s 0 -t 1 -c 1 -g 1.25e-07 -r -10 -d 2, ACC = 0.12, MSE = 3.9124, SCC = 0.019327519432505602]
[param : -s 0 -t 1 -c 1 -g 1.25e-07 -r -1 -d 2, ACC = 0.12, MSE = 3.9136, SCC = 0.019184471269740884]
[param : -s 0 -t 1 -c 1 -g 1.25e-07 -r -0.1 -d 2, ACC = 0.12, MSE = 3.9124, SCC = 0.019327519432505602]
[param : -s 0 -t 1 -c 1 -g 1.25e-07 -r 0 -d 2, ACC = 46.6, MSE = 1.934, SCC = 0.25912766800069376]
[param : -s 0 -t 1 -c 1 -g 1.25e-07 -r 0.1 -d 2, ACC = 79.4, MSE = 0.824, SCC = 0.6319435961960072]
